sa_id,phase,tier,title,registry_status,has_recipe_file,recipe_path,recipe_md_status,verify_recipe,proof_verdict,honest_proof,full_worker_cycle,has_receipt,receipt_status,receipt_at,receipt_path,has_closeout_yaml,closeout_reporter,closeout_at,closeout_evidence,missing_gaps
sa-0001,phase-s0-ssot-alignment,T0,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0001.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0002,phase-s0-ssot-alignment,T0,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0002.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0003,phase-s0-ssot-alignment,T0,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0003.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0004,phase-s0-ssot-alignment,T0,Set goal-dispatch-closure status in_progress with spine bridge blocker note,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0004.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0005,phase-s0-ssot-alignment,T0,Set P2 L0-full pendings status partial not open,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0005.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0006,phase-s0-ssot-alignment,T0,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0006.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0007,phase-s0-ssot-alignment,T0,Add audit regression: fail if live eval ok but Eval-1b still in not_here,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0007.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0008,phase-s0-ssot-alignment,T0,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0008.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0009,phase-s0-ssot-alignment,T0,Run bash validate-governance-drift-v1.sh; drift items must be 0,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0009.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
sa-0010,phase-s0-ssot-alignment,T0,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,backlog,yes,prompts/phase-s0-ssot-alignment/T0/sa-0010.md,backlog,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,BACKLOG,no,no,no,,,,no,,,,NOT_DONE
