sa_id,phase,tier,title,registry_status,bucket,recipe_ok,recipe_path,verify_recipe,validation,proof_verdict,honest_proof,has_receipt,receipt_status,closeout_reporter,quarantined_yaml,machine_verify,missing_gaps,cycle_check,cycle_act,cycle_verify,queue_pos,queue_role
sa-0001,phase-s0-ssot-alignment,T0,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0001.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0002,phase-s0-ssot-alignment,T0,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0002.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0003,phase-s0-ssot-alignment,T0,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0003.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0004,phase-s0-ssot-alignment,T0,Set goal-dispatch-closure status in_progress with spine bridge blocker note,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0004.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0005,phase-s0-ssot-alignment,T0,Set P2 L0-full pendings status partial not open,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0005.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0006,phase-s0-ssot-alignment,T0,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0006.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0007,phase-s0-ssot-alignment,T0,Add audit regression: fail if live eval ok but Eval-1b still in not_here,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0007.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0008,phase-s0-ssot-alignment,T0,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0008.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0009,phase-s0-ssot-alignment,T0,Run bash validate-governance-drift-v1.sh; drift items must be 0,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0009.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
sa-0010,phase-s0-ssot-alignment,T0,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,done,done,yes,prompts/phase-s0-ssot-alignment/T0/sa-0010.md,cd scripts && SINA_AUDIT_STRICT=1 python3 build-sina-command-panel.py && python3 find_critical_bugs.py,PASS_DONE,HONEST_RECEIPT,yes,yes,DONE,goal1_lane_broker,no,,,yes,yes,yes,,
