sa_id,phase,tier,title,audit_verdict,has_receipt,receipt_status,receipt_engine,receipt_at,receipt_path,has_closeout_yaml,closeout_reporter,closeout_reported_at,closeout_yaml,closeout_evidence
sa-0001,phase-s0-ssot-alignment,T0,Run python3 audit_hub_source_alignment.py strict; fix honest_score not_here drift,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0002,phase-s0-ssot-alignment,T0,Skip L8 embeddings-later in not_here when embedding_provider.py + vector_index exist,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0003,phase-s0-ssot-alignment,T0,Update strategic_synthesis_hub this_week: spine Action + fleet auto-pass + Wire G3,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0004,phase-s0-ssot-alignment,T0,Set goal-dispatch-closure status in_progress with spine bridge blocker note,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0005,phase-s0-ssot-alignment,T0,Set P2 L0-full pendings status partial not open,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0006,phase-s0-ssot-alignment,T0,Sync SINA_GPT_CLAUDE_WTM_SYNTHESIS_LOCKED_v1.md Eval line to 5/5 · 100% live,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0007,phase-s0-ssot-alignment,T0,Add audit regression: fail if live eval ok but Eval-1b still in not_here,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0008,phase-s0-ssot-alignment,T0,Validate MAP_POINTER_DOCS reference WORLD_TARGET_MODEL_MAP_LOCKED_v5.md only,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0009,phase-s0-ssot-alignment,T0,Run bash validate-governance-drift-v1.sh; drift items must be 0,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0010,phase-s0-ssot-alignment,T0,Cross-check STRATEGIC_NEXT_STEPS_SYNTHESIS_LOCKED_v2.md vs /api/strategic-synthesis-v1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0011,phase-s0-ssot-alignment,T0,Fix ENFORCE-only not_here when ~/.sina/gate_mode_v1.txt is enforce,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0012,phase-s0-ssot-alignment,T0,Verify _phase_d_complete() matches D1–D16 in-repo artifacts,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0013,phase-s0-ssot-alignment,T0,Run python3 audit_essentials_nav.py — 42 sidebar tabs match app.js,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0014,phase-s0-ssot-alignment,T0,Grep app.js for WORLD_TARGET_MODEL_MAP_LOCKED_v2 — must be zero hits,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0015,phase-s0-ssot-alignment,T0,Ensure PROGRAM_PROGRESS signals_auto synced_at updates on build,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0016,phase-s0-ssot-alignment,T0,Validate index.html has __COMMAND_DATA_LAZY and shell payload under 500KB,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0017,phase-s0-ssot-alignment,T0,Sync FEEDBACK_AGGREGATE execution truth with hub built_at,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0018,phase-s0-ssot-alignment,T0,Reject unconditional L8 line in honest_score when hybrid shipped,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0019,phase-s0-ssot-alignment,T0,Compare ChatGPT critic Eval claim to ~/.sina/eval_packet_v1b_report.json,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0020,phase-s0-ssot-alignment,T0,Compare Claude ENFORCE stale claims to dispatch-policy API live,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0021,phase-s0-ssot-alignment,T0,Document SSOT trust order in COUNCIL_BRIEF one bullet,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0022,phase-s0-ssot-alignment,T0,Grep scripts for dispatch_ready=true global set — reject,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0023,phase-s0-ssot-alignment,T0,Validate strategic_synthesis bottleneck mentions dispatch_ready false,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
sa-0024,phase-s0-ssot-alignment,T0,Strict build runs validate-eval-packet-v1b-live without SINA_EVAL_1B_LIVE=1,DONE_NO_PROOF_ON_DISK,no,,,,,no,,,,
