path	size	first_line
./ACTIVE_NOW.md	4.0K	# ACTIVE NOW — single scoreboard (ASF law)
./AGENT_DESK_START_HERE.md	4.0K	# ASF Agent Desk — start here
./AGENT_RULE_CONFLICT_AND_STALE_TRUTH_AUDIT_LOCKED_v1.md	4.0K	# Agent rule conflict & stale truth audit — root pointer
./AGENT_RULE_CONFLICT_AND_STALE_TRUTH_AUDIT_REPORT_LOCKED_v1.md	4.0K	# Agent rule conflict audit — pointer
./AGENT_SELF_AUDIT_ASF_REPORT_2026-06-04.md	8.0K	# Agent self-audit — full ecosystem (ASF presentation)
./AI_INFRA_PARTNERSHIP_PROPOSALS_LOCKED_v1.md	8.0K	# AI infrastructure partnership proposals — LOCKED v1
./ASF_100_NEXT_PLANS_ENTERPRISE_SHIP_LOCKED_v1.md	 12K	# ASF — 100 next plans · enterprise ship (LOCKED v1)
./ASF_FIVE_REPOS_PLUS_COMMAND_CHAT_v1.md	4.0K	# Five product repos + Lane 0 command chat
./ASF_FULL_DAY_EXECUTION_PLAYBOOK_LOCKED_v1.md	8.0K	# ASF Full Day Execution Playbook (LOCKED)
./ASF_MASTER_ORDERS_ORGANIZED_LOCKED_v1.md	 12K	# ASF master orders — organized from your messages (LOCKED)
./ASF_MILESTONE_GLOSSARY_LOCKED_v1.md	4.0K	# ASF — Milestone glossary (LOCKED)
./ASF_PARALLEL_SIX_REPOS_OVERRIDE_v1.md	4.0K	# ASF override — parallel = 5 product repos + Lane 0 command chat
./ASF_PROGRAM_PROGRESS_COMMAND_CENTER_LOCKED_v1.md	 12K	# ASF — Program progress command center (LOCKED)
./ASF_PROGRAM_THREADS_REGISTRY_LOCKED_v1.md	 20K	# ASF — Program threads & phases (LOCKED registry)
./ASF_RETIRE_SINA_COMMAND_FOREVER_LOCKED_v1.md	4.0K	# ASF — Retire Sina Command forever (LOCKED v1)
./AUTO_CONFLICT_ENGINE_V3_LOCKED.md	8.0K	# Auto-Conflict Engine v3 — Layer Sovereignty (FINAL LOCKED)
./AUTO_CONFLICT_EXAMPLE_AGENT_STACK_POLICY_v1_LOCKED.md	8.0K	# AUTO-CONFLICT Example — Agent Stack Policy v1 (LOCKED)
./BRAIN_OS_POINTER_LOCKED_v1.md	4.0K	# Brain-OS — unified SSOT pointer (LOCKED v2)
./CHAT_EXTRACT_UNIFY_PROMPT.txt	4.0K	CHAT EXTRACT — this conversation only
./CHAT_UNIFY_ROLLUP_PROMPT.txt	4.0K	CHAT UNIFY — merge extractions into one master brief
./CHATGPT_EXTERNAL_CRITIC_LAW_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./COUNCIL_BRIEF_STRATEGIC_SLICE_EVAL_L0_ENFORCE_LOCKED_v1.md	 12K	# Council Brief — Strategic Slice (LOCKED v1)
./CROSS_LANE_EDIT_FORBIDDEN_LOCKED_v1.md	4.0K	# Cross-lane edit forbidden — LOCKED v1 (stub)
./CURSOR_AGENT_CONTEXT_MEMORY_INCIDENT_LOCKED_v1.md	4.0K	# MOVED — canonical SSOT
./CURSOR_AGENT_CONTEXT_MEMORY_INCIDENT_REPORT_LOCKED_v1.md	4.0K	# Cursor context / memory / closeout — incident report (pointer)
./CURSOR_FIND_BUGS_AUTOMATION_LOCKED_v1.md	4.0K	# Cursor Find Bugs automation — SourceA adaptation (LOCKED)
./CURSOR_FIX_OVERNIGHT.md	4.0K	# CURSOR FIX — SourceA Overnight Loop Reset
./CURSOR_REPO_AGENT_NOTICE_PROMPTS_v1.md	 16K	# Cursor Repo Agent — Unifying Notice Prompts (v1)
./CURSOR_REPO_SPECIALIZED_NOTICES_v2.md	4.0K	# Five Specialized Repo Notice Prompts (v2)
./CURSOR_SYSTEM_EXECUTION_MODE_START_v1.md	8.0K	# START SYSTEM EXECUTION MODE — Master Prompt (v1)
