id,source_path,filename,ext,size_bytes,subject,field,spec_tier,status
ic-00001,Sina-Kazemnezhad 3.pdf,Sina-Kazemnezhad 3.pdf,.pdf,92623,raw,ops,draft,classified
ic-00002,Noetfield_Systems_Intake_Brief.pdf,Noetfield_Systems_Intake_Brief.pdf,.pdf,27439,noetfield,spec,draft,classified
ic-00003,sot_registry_specification.html,sot_registry_specification.html,.html,22791,raw,code,draft,classified
ic-00004,lovable-prompt-ai-second-brain.pdf,lovable-prompt-ai-second-brain.pdf,.pdf,64805,sina_os,prompt,draft,classified
ic-00005,Sina_Kazemnezhad_Sample2_RiverCrossing_10pp.pdf,Sina_Kazemnezhad_Sample2_RiverCrossing_10pp.pdf,.pdf,18342,raw,ops,draft,classified
ic-00006,Solo_Leadership_Blueprint_777Foundation.docx,Solo_Leadership_Blueprint_777Foundation.docx,.docx,37911,777,ops,draft,classified
ic-00007,noetfield-analysis.pdf,noetfield-analysis.pdf,.pdf,269860,noetfield,ops,draft,classified
ic-00008,VIRELUX_Investor_PitchDeck_2025_v2.pdf,VIRELUX_Investor_PitchDeck_2025_v2.pdf,.pdf,2868,investor,marketing,active,classified
ic-00009,Witness_BC_DAO_Final_Strategic_Package.docx,Witness_BC_DAO_Final_Strategic_Package.docx,.docx,37962,trustfield,ops,draft,classified
ic-00010,Noetfield Master Briefing May2026.docx,Noetfield Master Briefing May2026.docx,.docx,26762,noetfield,marketing,draft,classified
ic-00011,noetfied_sandbox_architecture.pdf,noetfied_sandbox_architecture.pdf,.pdf,147222,raw,spec,draft,classified
ic-00012,noetfield_mvp_system_spec_v4.1.pdf,noetfield_mvp_system_spec_v4.1.pdf,.pdf,76833,noetfield,spec,active,classified
ic-00013,Sina_Kazemnezhad_Resume.pdf,Sina_Kazemnezhad_Resume.pdf,.pdf,126646,personal,ops,draft,classified
ic-00014,The_777_Foundation_Society_Bylaws_Final.pdf,The_777_Foundation_Society_Bylaws_Final.pdf,.pdf,5153,777,legal,draft,classified
ic-00015,Sina-Kazemnezhad 2.pdf,Sina-Kazemnezhad 2.pdf,.pdf,92826,raw,ops,draft,classified
ic-00016,Sina_Kazemnezhad_Resume_2Page_CircleRestoration.pdf,Sina_Kazemnezhad_Resume_2Page_CircleRestoration.pdf,.pdf,2714,personal,ops,draft,classified
ic-00017,IMG_9958.jpg,IMG_9958.jpg,.jpg,516919,raw,ops,draft,classified
ic-00018,CF_Canada_Proposal_Sina_Kazemnezhad 2.docx,CF_Canada_Proposal_Sina_Kazemnezhad 2.docx,.docx,37988,raw,ops,draft,classified
ic-00019,Sina__Resume.pdf,Sina__Resume.pdf,.pdf,4342,personal,ops,draft,classified
ic-00020,SWISS_Public_Affairs_Motivation_Letter.pdf,SWISS_Public_Affairs_Motivation_Letter.pdf,.pdf,2721,raw,ops,draft,classified
ic-00021,Sina.KazemnezhadR.pdf,Sina.KazemnezhadR.pdf,.pdf,121737,raw,ops,draft,classified
ic-00022,Cover letter.docx,Cover letter.docx,.docx,7502,raw,ops,draft,classified
ic-00023,file_8B96D728-6BB6-4340-B73C-9E5F1D032221.pdf,file_8B96D728-6BB6-4340-B73C-9E5F1D032221.pdf,.pdf,4840902,raw,ops,draft,classified
ic-00024,noetfield-runtime.zip,noetfield-runtime.zip,.zip,83047,noetfield,code,draft,classified
